Unit price_standardized_binarized,Branch_B,Week_Day_Sunday,Product line_Food_and_beverages,Hour_18,Week_Day_Tuesday,Week_Day_Wednesday,Hour_16,Hour_14,Hour_19,Hour_17,Week_Day_Saturday,Hour_13,Unit price_standardized,Hour_15,Product line_Home_and_lifestyle,Product line_Health_and_beauty,Branch_C,Week_Day_Monday,Quantity_standardized,Hour_20,Hour_11,Total_standardized_binarized,Gender_Male,Product line_Fashion_accessories,Customer type_Normal,Payment_Credit card,Payment_Ewallet,Total_standardized,Week_Day_Thursday,Quantity_standardized_binarized,Hour_12,Product line_Sports_and_travel,Rating,clusters,3-means,optimum_clusters
0.0,1,0,1,0,0,1,0,0,0,0,0,1,-0.031423214033284845,0,0,0,0,0,-0.8590099405604716,0,0,0.0,0,0,0,1,0,-0.6120755878135432,0,0.0,0,0,1.0,1,1,3
0.0,1,0,0,1,0,1,0,0,0,0,0,0,-1.555513101891402,0,0,0,0,0,-0.5167749044806024,0,0,0.0,0,1,0,0,1,-1.069004431826098,0,0.0,0,0,0.0,1,1,3
0.0,1,0,0,0,0,0,0,0,0,1,1,0,-1.1389939873454398,0,0,0,0,0,-0.5167749044806024,0,0,0.0,1,0,0,0,0,-0.8798890416025155,0,0.0,0,0,1.0,1,1,3
1.0,1,0,0,0,1,0,1,0,0,0,0,0,1.4367783429519374,0,0,0,0,0,0.16769516767913614,0,0,1.0,0,0,0,0,0,1.093049122769893,0,1.0,0,1,0.0,1,2,4
0.0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5804883024737464,1,1,0,0,1,-1.2012449766403408,0,0,0.0,0,0,1,0,1,-0.9717891768335584,0,0.0,0,0,0.0,1,1,3
1.0,1,0,0,0,1,0,0,0,0,0,0,0,1.2200222488908476,0,0,1,0,0,-0.8590099405604716,0,0,0.0,1,0,1,0,1,-0.18592300177481733,0,0.0,0,0,1.0,1,1,2
0.0,1,0,0,0,0,0,0,0,0,0,0,0,-0.848601241120739,0,1,0,0,0,-1.2012449766403408,0,0,0.0,1,0,1,1,0,-1.0326558708765066,0,0.0,1,0,0.0,1,1,3
0.0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8365172776887619,1,0,0,0,0,-1.54348001272021,0,0,0.0,1,1,1,0,0,-1.1735922722942627,0,0.0,0,0,1.0,1,1,3
1.0,1,0,1,0,0,0,0,0,1,0,0,0,1.2343719554663206,0,0,0,0,0,-0.17453986840073304,0,0,1.0,0,0,1,0,0,0.5764537730476311,0,0.0,0,0,1.0,1,2,4
1.0,1,0,0,0,0,0,0,0,1,0,0,0,1.4522609210991577,0,0,0,0,1,-0.17453986840073304,0,0,1.0,1,1,1,1,0,0.7001160352405226,0,0.0,0,0,0.0,1,2,4
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.8457970063568054,0,0,0,0,1,1.1944002759187435,0,0,1.0,1,0,0,0,0,1.6944720693308826,0,1.0,1,1,0.0,1,2,1
